sample,condition
GSM1841251,healthy
GSM1841259,healthy
GSM1841261,healthy
GSM1841263,healthy
GSM1841266,Cardiomyopathy
GSM1841268,Cardiomyopathy
GSM1841270,Cardiomyopathy
GSM1841273,Cardiomyopathy
