ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0046189,phenol-containing compound biosynthetic process,15,-0.709981460714898,-1.59194517066315,0.0174304991984402,0.775054554246325,0.729484900430778,100,"tags=20%, list=2%, signal=20%",538/7306/1001,0.352487857583619
GO:0035988,chondrocyte proliferation,7,-0.828092564970815,-1.59022816193859,0.0177070977264866,0.775054554246325,0.729484900430778,8,"tags=14%, list=0%, signal=14%",659,0.352487857583619
GO:0071356,cellular response to tumor necrosis factor,48,-0.558687615117415,-1.58985005927848,0.0199226586274641,0.788825826214698,0.742446484754893,498,"tags=25%, list=12%, signal=22%",2309/1535/3303/445/329/958/4317/1393/970/331/2150/672,0.352487857583619
GO:0048023,positive regulation of melanin biosynthetic process,5,-0.898105884257716,-1.58872130063035,0.0150809801139295,0.744836710294092,0.701043727140515,100,"tags=60%, list=2%, signal=59%",538/7306/1001,0.380730400722792
GO:1900378,positive regulation of secondary metabolite biosynthetic process,5,-0.898105884257716,-1.58872130063035,0.0150809801139295,0.744836710294092,0.701043727140515,100,"tags=60%, list=2%, signal=59%",538/7306/1001,0.380730400722792
GO:0045744,negative regulation of G protein-coupled receptor signaling pathway,23,0.549977733025859,1.58742006354713,0.026550027633599,0.874929901143262,0.823488034903614,892,"tags=48%, list=22%, signal=38%",408/636/351/333/1813/493/154/407/156/409/133,0.352487857583619
GO:0046639,negative regulation of alpha-beta T cell differentiation,9,-0.77683582776944,-1.5869305839959,0.0454445222722236,0.886378659341314,0.834263658617332,361,"tags=33%, list=9%, signal=30%",865/969/861,0.321775918075361
GO:0030177,positive regulation of Wnt signaling pathway,22,-0.636968751440964,-1.58692202554727,0.028851175803038,0.886378659341314,0.834263658617332,782,"tags=45%, list=19%, signal=37%",5460/1277/2263/1654/527/406/650/331/1613/1001,0.352487857583619
GO:0070169,positive regulation of biomineral tissue development,22,-0.636235814623133,-1.58509601198394,0.0293360581956159,0.886378659341314,0.834263658617332,393,"tags=23%, list=10%, signal=21%",2824/650/1051/490/659,0.352487857583619
GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,8,-0.793689810666997,-1.58423111626198,0.0130027543192923,0.744836710294092,0.701043727140515,94,"tags=25%, list=2%, signal=24%",653/672,0.380730400722792
GO:0006766,vitamin metabolic process,6,0.767628767985787,1.58342623475053,0.0337862219253721,0.886378659341314,0.834263658617332,457,"tags=83%, list=11%, signal=74%",1591/1593/1576/1592/874,0.321775918075361
GO:0042754,negative regulation of circadian rhythm,5,0.802983371487784,1.58323693360367,0.0454507837190616,0.886378659341314,0.834263658617332,453,"tags=40%, list=11%, signal=36%",134/1813,0.321775918075361
GO:0060271,cilium assembly,28,-0.622553005879569,-1.58242601151708,0.0172879754176631,0.775054554246325,0.729484900430778,774,"tags=46%, list=19%, signal=38%",582/585/1767/403/4134/2622/3064/378/11158/5108/1641/1874/1183,0.352487857583619
GO:0003209,cardiac atrium morphogenesis,6,-0.844555845712734,-1.58092210423308,0.0205192799796339,0.789505708090673,0.743086392694126,340,"tags=33%, list=8%, signal=31%",650/659,0.352487857583619
GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,13,-0.717284813469167,-1.58086644456339,0.017584054490428,0.775054554246325,0.729484900430778,341,"tags=23%, list=8%, signal=21%",3303/650/1001,0.352487857583619
GO:0071560,cellular response to transforming growth factor beta stimulus,54,-0.546326537179386,-1.58052416018312,0.0310524108360089,0.886378659341314,0.834263658617332,646,"tags=30%, list=16%, signal=25%",1149/2263/1028/7476/2651/1385/3693/3303/650/2348/5678/2661/2662/2734/1387/1001,0.352487857583619
GO:1903055,positive regulation of extracellular matrix organization,6,-0.843905719962536,-1.57970513536804,0.0210701249713704,0.800664748912076,0.753589333084458,340,"tags=33%, list=8%, signal=31%",650/861,0.352487857583619
GO:0071276,cellular response to cadmium ion,6,0.765545302533599,1.57912856640643,0.0342166138734821,0.886378659341314,0.834263658617332,506,"tags=50%, list=12%, signal=44%",1536/4499/4502,0.321775918075361
GO:0098693,regulation of synaptic vesicle cycle,4,0.861563453357018,1.57897561453684,0.0259331817342647,0.869724550470543,0.818588734981575,202,"tags=50%, list=5%, signal=48%",1902/396,0.352487857583619
GO:0014048,regulation of glutamate secretion,7,0.75462650020218,1.57853491143445,0.0339599300072506,0.886378659341314,0.834263658617332,627,"tags=57%, list=15%, signal=48%",134/552/2912/551,0.321775918075361
GO:0050678,regulation of epithelial cell proliferation,79,-0.515274000198664,-1.57788529628982,0.010110245351823,0.712839682709068,0.670927978056711,559,"tags=25%, list=14%, signal=22%",1028/2065/2152/7476/498/695/1535/567/1012/3915/3727/572/1960/5617/1232/653/5578/350/4763/1001,0.380730400722792
GO:0048745,smooth muscle tissue development,5,-0.890209583467106,-1.57475299078836,0.0190273018439137,0.775054554246325,0.729484900430778,41,"tags=20%, list=1%, signal=20%",4763,0.352487857583619
GO:0060828,regulation of canonical Wnt signaling pathway,42,-0.573313795044852,-1.57411114074046,0.0197244979861757,0.788035167436693,0.741702313087509,782,"tags=31%, list=19%, signal=25%",5460/1277/857/2263/1654/406/650/2348/1649/331/1613/1001/267,0.352487857583619
GO:0045721,negative regulation of gluconeogenesis,7,0.752227821977627,1.57351733344357,0.035257744500405,0.886378659341314,0.834263658617332,348,"tags=43%, list=9%, signal=39%",1196/4485/2033,0.321775918075361
GO:0033002,muscle cell proliferation,50,-0.556622707764564,-1.57162151386339,0.0352505531089783,0.886378659341314,0.834263658617332,441,"tags=16%, list=11%, signal=14%",1535/1012/650/1649/1991/5578/659/861,0.321775918075361
GO:0051961,negative regulation of nervous system development,23,-0.629665897033776,-1.56786539938363,0.0410557184750733,0.886378659341314,0.834263658617332,658,"tags=43%, list=16%, signal=37%",5309/4168/7476/4099/567/5108/999/474/4763/706,0.271288554688953
GO:2000849,regulation of glucocorticoid secretion,5,-0.884732302190982,-1.56506385102717,0.0241011659742773,0.85665026487375,0.806283157426386,30,"tags=20%, list=1%, signal=20%",706,0.352487857583619
GO:0046638,positive regulation of alpha-beta T cell differentiation,13,-0.710009275044338,-1.5648314549108,0.0204495553758831,0.789505708090673,0.743086392694126,55,"tags=15%, list=1%, signal=15%",387/861,0.352487857583619
GO:0002446,neutrophil mediated immunity,14,-0.691876725432468,-1.5633418589864,0.0359850167120507,0.886378659341314,0.834263658617332,585,"tags=50%, list=14%, signal=43%",1776/5443/1636/566/1773/1991/2150,0.321775918075361
GO:0003206,cardiac chamber morphogenesis,26,-0.601922351196677,-1.563006399093,0.0413223140495868,0.886378659341314,0.834263658617332,627,"tags=31%, list=15%, signal=26%",2263/655/4634/650/1832/5457/653/659,0.261663521711573
GO:0042559,pteridine-containing compound biosynthetic process,6,-0.834401373792989,-1.56191397209329,0.0265785840686402,0.874929901143262,0.823488034903614,421,"tags=67%, list=10%, signal=60%",2356/471/2348/6697,0.352487857583619
GO:0002444,myeloid leukocyte mediated immunity,32,-0.593170253387089,-1.56156228835655,0.0299614891064131,0.886378659341314,0.834263658617332,663,"tags=41%, list=16%, signal=34%",2215/1776/5443/1636/695/5729/2205/566/8673/1773/1991/2150/2214,0.352487857583619
GO:0045103,intermediate filament-based process,17,-0.672748379771508,-1.55792653185809,0.038109756097561,0.886378659341314,0.834263658617332,674,"tags=47%, list=17%, signal=39%",1861/1674/3883/631/1832/3887/3860/3890,0.287857117255149
GO:0045104,intermediate filament cytoskeleton organization,17,-0.672748379771508,-1.55792653185809,0.038109756097561,0.886378659341314,0.834263658617332,674,"tags=47%, list=17%, signal=39%",1861/1674/3883/631/1832/3887/3860/3890,0.287857117255149
GO:0007020,microtubule nucleation,4,-0.934445835109257,-1.55541205191747,0.00420673160973428,0.651815077823144,0.613491340112786,2,"tags=25%, list=0%, signal=25%",7283,0.407017918923954
GO:0061298,retina vasculature development in camera-type eye,6,-0.830403883706656,-1.5544310797884,0.0276802773728596,0.886378659341314,0.834263658617332,8,"tags=17%, list=0%, signal=17%",659,0.352487857583619
GO:0038061,non-canonical NF-kappaB signal transduction,23,-0.624076928040459,-1.55394889041574,0.0410557184750733,0.886378659341314,0.834263658617332,257,"tags=17%, list=6%, signal=16%",329/3430/387/267,0.271288554688953
GO:0014888,striated muscle adaptation,9,0.708563398223303,1.55274610826035,0.0451876538694423,0.886378659341314,0.834263658617332,884,"tags=67%, list=22%, signal=52%",816/2308/493/2660/4653/818,0.321775918075361
GO:0060841,venous blood vessel development,4,-0.932460705372938,-1.55210774619907,0.00459987314054749,0.651815077823144,0.613491340112786,8,"tags=25%, list=0%, signal=25%",659,0.407017918923954
GO:0097061,dendritic spine organization,24,0.523139626335957,1.55151743819199,0.0315852421450779,0.886378659341314,0.834263658617332,373,"tags=25%, list=9%, signal=23%",1020/816/4739/3480/351/1855,0.321775918075361
GO:0070613,regulation of protein processing,12,-0.719032624019795,-1.55101352729575,0.0487422467235153,0.886378659341314,0.834263658617332,5,"tags=8%, list=0%, signal=8%",861,0.321775918075361
GO:0036303,lymph vessel morphogenesis,7,-0.806992822767277,-1.54970925658784,0.0256682937547308,0.869724550470543,0.818588734981575,8,"tags=14%, list=0%, signal=14%",659,0.352487857583619
GO:0097401,synaptic vesicle lumen acidification,10,-0.746084582024044,-1.54526219231546,0.0303164762874484,0.886378659341314,0.834263658617332,211,"tags=30%, list=5%, signal=29%",1182/529/534,0.352487857583619
GO:0002082,regulation of oxidative phosphorylation,6,-0.82541057850348,-1.54508412350486,0.0306697649670128,0.886378659341314,0.834263658617332,100,"tags=33%, list=2%, signal=33%",538/387,0.352487857583619
GO:0032965,regulation of collagen biosynthetic process,5,-0.87317103187189,-1.54461232438622,0.029166819844813,0.886378659341314,0.834263658617332,5,"tags=20%, list=0%, signal=20%",861,0.352487857583619
GO:0035270,endocrine system development,34,-0.579171027123816,-1.543942007833,0.0363636363636364,0.886378659341314,0.834263658617332,340,"tags=21%, list=8%, signal=19%",650/999/3232/572/653/4763/706,0.282013350011725
GO:0007620,copulation,4,0.842282277029951,1.54363926511138,0.0371271968975626,0.886378659341314,0.834263658617332,539,"tags=75%, list=13%, signal=65%",18/5028/552,0.321775918075361
GO:0006007,glucose catabolic process,6,-0.823943684998927,-1.54233824899854,0.0306697649670128,0.886378659341314,0.834263658617332,17,"tags=17%, list=0%, signal=17%",226,0.352487857583619
GO:0032743,positive regulation of interleukin-2 production,9,-0.754958235122935,-1.54223874611475,0.0432692307692308,0.886378659341314,0.834263658617332,5,"tags=11%, list=0%, signal=11%",861,0.276500599254472
GO:0071216,cellular response to biotic stimulus,53,-0.539630923612025,-1.54166165778984,0.0246538053671753,0.861665715981152,0.811003723006775,444,"tags=28%, list=11%, signal=26%",695/1437/567/1053/445/1051/1649/923/958/949/4317/4986/5578/387/706,0.352487857583619
GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",13,-0.699435004197824,-1.54152619367694,0.0402476780185759,0.886378659341314,0.834263658617332,361,"tags=23%, list=9%, signal=21%",865/969/861,0.282013350011725
GO:0002934,desmosome organization,7,-0.80126247736294,-1.53870498360547,0.0311107431267747,0.886378659341314,0.834263658617332,330,"tags=43%, list=8%, signal=39%",1832/999/5578,0.352487857583619
GO:0043032,positive regulation of macrophage activation,6,-0.821127390965259,-1.53706643481071,0.0322982066272962,0.886378659341314,0.834263658617332,280,"tags=50%, list=7%, signal=47%",3727/4317/1050,0.321775918075361
GO:0006820,monoatomic anion transport,34,-0.576151629262816,-1.53589296018103,0.0377622377622378,0.886378659341314,0.834263658617332,857,"tags=41%, list=21%, signal=33%",5243/1207/1193/6573/1181/363/7416/2556/1188/1182/760/706/1184/1183,0.276500599254472
GO:0002029,desensitization of G protein-coupled receptor signaling pathway,11,0.651355896343305,1.5323188605716,0.0306174475449042,0.886378659341314,0.834263658617332,892,"tags=64%, list=22%, signal=50%",408/351/1813/407/156/409/133,0.352487857583619
GO:0022401,negative adaptation of signaling pathway,11,0.651355896343305,1.5323188605716,0.0306174475449042,0.886378659341314,0.834263658617332,892,"tags=64%, list=22%, signal=50%",408/351/1813/407/156/409/133,0.352487857583619
GO:0023058,adaptation of signaling pathway,11,0.651355896343305,1.5323188605716,0.0306174475449042,0.886378659341314,0.834263658617332,892,"tags=64%, list=22%, signal=50%",408/351/1813/407/156/409/133,0.352487857583619
GO:0010721,negative regulation of cell development,55,-0.535172687723856,-1.53197748359371,0.0234752059471064,0.841244405522256,0.791783091961958,658,"tags=27%, list=16%, signal=23%",5309/4168/325/1903/7476/4099/567/865/5108/969/999/474/4763/706/861,0.352487857583619
GO:0045723,positive regulation of fatty acid biosynthetic process,10,0.650305410517744,1.53092441468896,0.0471848982393624,0.886378659341314,0.834263658617332,627,"tags=50%, list=15%, signal=42%",344/225/552/1907/551,0.321775918075361
GO:0048799,animal organ maturation,9,-0.749277172681641,-1.53063339603252,0.046474358974359,0.886378659341314,0.834263658617332,396,"tags=44%, list=10%, signal=40%",2688/650/10507/387,0.266350657088526
GO:0070977,bone maturation,9,-0.749277172681641,-1.53063339603252,0.046474358974359,0.886378659341314,0.834263658617332,396,"tags=44%, list=10%, signal=40%",2688/650/10507/387,0.266350657088526
GO:0048663,neuron fate commitment,6,-0.817015406134658,-1.5293692200629,0.0355550954931175,0.886378659341314,0.834263658617332,274,"tags=33%, list=7%, signal=31%",5457/474,0.321775918075361
GO:0060412,ventricular septum morphogenesis,10,-0.737636089019854,-1.52776399286735,0.0318711304486522,0.886378659341314,0.834263658617332,8,"tags=10%, list=0%, signal=10%",659,0.321775918075361
GO:0015698,inorganic anion transport,36,-0.563356555357419,-1.52444638504974,0.0375722543352601,0.886378659341314,0.834263658617332,572,"tags=28%, list=14%, signal=24%",1181/363/2542/2556/1051/1188/1182/706/1184/1183,0.282013350011725
