ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,28,0.58479622507624,1.83253407755931,0.00492973757659644,0.123243439414911,0.090855231933466,436,"tags=25%, list=11%, signal=22%",8916/2936/354/563/1718/896/5867,0.407017918923954
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,66,-0.586287969720985,-1.7520046860007,0.0036775382033515,0.123243439414911,0.090855231933466,296,"tags=11%, list=7%, signal=10%",999/3909/3688/478/4763/1001/7283,0.431707695803346
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,59,-0.590784531360872,-1.7067054242314,0.00915665366323399,0.152610894387233,0.112504959866028,237,"tags=10%, list=6%, signal=10%",699/1649/908/1491/226/7283,0.380730400722792
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,46,-0.576016090748644,-1.60475607567393,0.0224304223829777,0.224304223829777,0.165357380291067,146,"tags=7%, list=4%, signal=6%",1031/672/7283,0.352487857583619
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,20,-0.659893865502066,-1.58825458146992,0.0223976697944686,0.224304223829777,0.165357380291067,686,"tags=40%, list=17%, signal=33%",3726/1028/3460/650/999/331/387/659,0.352487857583619
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,57,-0.508421744980655,-1.48432381842311,0.0378096479791395,0.315080399826163,0.232277701269928,474,"tags=19%, list=12%, signal=17%",403/771/445/999/1960/949/3860/760/2444/2030/267,0.266350657088526
