GSM1333746,GSM1333747,GSM1333748,GSM1333749,GSM1333750,GSM1333751,GSM1333752,GSM1333753,GSM1333754,GSM1333755,GSM1333756,GSM1333757,GSM1333758,GSM1333759,GSM1333760,GSM1333761,GSM1333762,GSM1333763,GSM1333764,GSM1333765,GSM1333766,GSM1333767,GSM1333768,GSM1333769,GSM1333770,GSM1333771,GSM1333772,GSM1333773,GSM1333774,GSM1333775,GSM1333776,GSM1333777,GSM1333778,GSM1333779,GSM1333780,GSM1333781
19.8824,15.5681,28.4603,1.5977,6.7943,20.5413,33.2,18.5816,14.9357,12.0819,1.8789,15.1814,7.4076,10.3798,9.4388,19.2969,1.6917,6.7434,3.7084,5.4052,3.1986,4.9387,2.4173,8.5893,3.7428,19.0401,0,15.7341,17.3486,3.668,4.0728,13.8586,33.9914,39.4207,11.7131,12.2776
8.3191,16.5878,8.383,6.1327,7.6403,1.703,20.303,8.1813,0.5434,10.2984,20.4186,2.9229,5.8351,32.8776,9.2851,20.8596,2.9148,31.0169,13.4809,11.9334,19.656,36.4763,3.5039,4.1727,1.7568,18.9045,4.2026,16.5411,13.9448,3.3508,8.4616,12.7328,8.4326,20.1572,8.2413,12.6849
17.5243,14.6983,10.2108,2.0682,6.1043,3.8842,9.0097,16.0158,1.2453,3.9821,3.9698,2.0089,5.7164,7.8206,7.9855,8.1445,5.3245,6.6126,35.5628,11.6685,5.2892,3.3845,6.5601,4.821,4.861,15.7908,1.3223,10.6365,9.3432,6.4784,7.9943,4.0078,12.8944,13.2913,15.6877,3.5947
16.5294,21.8421,56.9424,5.3424,3.2053,15.9553,35.0282,21.0357,3.5427,3.5459,4.3011,5.5091,4.0264,7.9757,3.3676,8.9205,11.4729,11.3557,8.0299,20.2277,9.4897,8.7866,2.01,3.5418,5.321,46.8354,3.5093,11.1456,34.878,3.5417,11.7814,8.7933,63.5483,22.569,42.749,3.1997
98.8853,99.5267,119.713,30.5635,59.333,36.6534,83.0283,57.5548,22.6279,34.4461,20.8135,26.8354,60.0126,60.0484,46.4108,67.1059,48.0714,60.9038,221.6169,118.7734,70.9622,49.836,40.2372,37.3651,27.3937,96.1131,29.6576,91.6632,86.2054,31.8556,101.4313,70.7047,170.6694,103.2609,110.358,47.6083
0,0,0,0,0,0,2.8748,0.9607,2.9785,0,0,1.9259,3.0301,0,0,0,0,0,3.7418,0,0,3.0011,0,0,0,0,0,0.9928,3.5279,0,0.9896,0,1.9947,3.0074,0.9973,2.9623
0,1.461,1.4505,0,0,0,0,0,0,1.468,0,0,0,0,1.469,0,1.0137,0,0,0.5163,0,1.47,0,0,0,0.4791,0,1.4697,1.4671,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9825,0,0,0,0,0,0,0
0.5975,0.7957,1.0869,0.8461,2.1885,1.0696,1.0702,0,0,0,0,0,0,0,0,0,1.097,0,1.1918,1.1132,0.9802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9438,8.6789,1.6722,0,0,7.137,12.8198,1.6475,0,5.7454,2.3503,4.1305,5.9219,4.9615,0.8467,0,1.8149,0.846,5.7814,7.9041,0.8468,0.9205,2.9067,4.1993,2.3783,10.4181,0.2333,1.8973,0,2.7756,5.325,2.3225,7.9472,9.0458,7.04,0
