GSM1841251,GSM1841259,GSM1841261,GSM1841263,GSM1841266,GSM1841268,GSM1841270,GSM1841273
646.604,1436.4393,1191.9981,1019.1748,604.7322,553.6097,1453.6543,483.804
1.0004,0,0.9945,0,0,0,0.9994,0.992
1999.2239,1951.1881,2332.2413,2210.8712,2069.6863,1791.4268,2108.6484,1527.949
335.324,340.8368,465.0563,232.1661,490.2369,482.2349,420.4649,345.1673
2113.919,962.8843,1384.3216,1541.045,1573.4988,923.579,692.5427,737.2159
55.1273,108.3336,118.038,42.7195,66.1863,44.8477,123.9932,37.1224
382.5206,508.6255,945.5941,309.6061,795.7593,953.423,801.7483,536.8522
685.7573,752.473,694.805,444.0718,676.0077,545.8916,639.284,386.4755
234.8024,893.133,144.8639,456.1099,571.6343,676.3711,904.0416,133.8948
109.4742,197.2054,95.184,76.4697,167.1882,114.3818,155.6987,108.4139
1992.288,1733.7628,1814.0978,1096.2782,1508.4616,1210.5058,1506.8318,1328.1975
1315.8679,1141.7527,1582.0127,792.6776,1507.1082,1564.2239,1149.53,1570.0172
727.3791,1067.5,751.6763,743.2393,1148.3142,852.1217,1128.3065,764.7807
943.6459,1007.8122,1055.4586,1086.4732,1668.0717,1397.1855,1947.0392,1034.6355
518.525,687.5805,548.6456,524.9771,2727.8716,1320.8078,2102.8955,625.9231
474.9406,476.4926,700.2667,439.9747,752.2911,543.9231,830.1177,436.6589
1593.4303,1366.4317,1287.5623,1001.0869,2369.8943,2129.8645,1950.3978,2733.1006
828.9426,790.5481,964.9032,640.0115,863.8569,1192.0088,710.7915,1309.386
9.0367,9.8507,15.8276,27.5823,26.0123,4.0956,50.1339,7.3409
12.1873,1.6444,5.1064,0,2.789,5.779,22.021,2.3426
293.6656,352.9382,286.1427,401.8139,469.6355,250.0217,494.1063,246.994
56.8278,129.8121,147.1197,76.2782,122.9364,124.3432,202.8667,129.1456
234.7673,360.366,252.4878,198.301,402.3791,288.3636,373.7819,249.2704
421.8477,321.2728,464.2495,346.2839,573.6223,262.3155,307.696,356.8788
1314.2353,1126.6409,956.9038,449.1504,1754.5445,1783.1367,1398.1773,1350.9045
1192.1643,1167.3016,2031.027,1332.7931,1378.695,1164.5509,1784.9307,1095.6759
145.7262,119.5868,186.9652,98.3734,297.0615,185.5397,397.5006,119.4659
588.7133,575.6144,411.1784,565.4344,662.5297,431.7895,624.3283,367.9708
401.3387,304.2335,419.4099,275.7639,517.6003,347.9089,402.1486,290.9946
1390.6794,1446.0687,1337.5416,1045.8391,1697.9525,1014.6026,2161.4387,884.9248
744.339,895.1328,642.4866,556.7375,1237.4934,1056.4496,1365.9589,653.0353
110.3906,130.2659,260.9941,107.1374,462.2116,188.3507,258.4034,502.3076
6207.7906,6470.9007,5639.0309,3415.0749,5805.7928,6184.3857,4698.0069,6122.1719
1363.8293,1575.451,2213.006,1195.9977,1622.9634,1276.687,1922.5803,1501.1805
985.0286,454.3091,726.3776,522.2323,625.0682,725.0691,600.9317,598.8637
1528.6116,2209.3209,1659.6835,1128.774,1980.8805,1713.5881,2134.3204,1311.1261
50.9121,56.1034,41.8838,107.4327,24.3496,26.4874,20.6907,98.4189
83.1356,168.1958,200.2957,118.5287,55.5188,44.4082,113.6274,77.5851
3781.8913,4834.141,4275.0509,2806.6799,4695.4661,3931.0585,3670.8146,3250.8264
1235.3655,1289.8937,1503.5051,1517.3667,1402.9587,1188.9754,1498.754,1175.5019
97.6092,595.5097,294.8222,788.4772,696.5854,602.5537,3080.3923,333.9935
224.4174,325.1038,285.747,195.6288,465.0587,452.2731,563.1313,512.9164
703.2283,1315.3615,1713.1447,638.4232,1491.3683,1329.4548,1765.7845,1420.7385
62.0862,97.5542,75.9352,122.8235,118.706,94.6209,91.7377,99.9462
0,0,0,0,0,0,0,0
1566.7053,726.5353,1628.0964,668.0319,820.3301,650.536,698.8833,724.6292
36.9493,377.2729,86.4312,85.2927,166.5077,209.9306,431.2349,341.159
0,0,1.0238,0,0,1.0127,0,0
207.2939,264.3602,333.8621,454.3593,280.4362,324.413,232.6314,282.4559
4365.8967,5266.903,5149.954,3352.9572,6776.651,6661.206,4947.0639,6201.8296
106.5255,44.6183,50.4767,65.6047,10.5698,0.9408,26.1843,7.0742
773.9622,714.6762,1023.1318,375.8255,949.2007,748.9141,1081.4149,764.098
676.3613,1154.629,1114.1287,808.3347,791.4926,677.1589,1049.3398,1456.9912
3834.5615,3378.3698,3707.7992,1180.9429,4619.2334,2993.1864,2997.9108,2850.4372
720.2877,476.6184,632.0336,281.1714,88.0944,69.8323,139.123,235.0444
1099.5572,915.4677,2581.0196,1980.2363,1243.8927,1478.8456,1882.7044,835.852
8.677,6.7352,3.381,3.89,14.1162,12.9215,5.2346,26.8118
139.0718,125.7038,139.0406,126.6819,184.6445,125.7069,85.691,117.1224
788.1646,680.5689,795.0643,748.1297,892.9476,820.0214,1181.2044,629.0228
234.8774,208.4028,195.9113,101.8102,206.2236,244.9591,142.7115,228.1253
673.6905,675.7232,549.9476,370.5959,967.7587,704.3126,845.4183,456.687
1059.0122,851.1567,618.9994,808.9913,2417.5889,2477.9782,1738.8565,1538.4954
1010.6118,1256.4623,754.1317,206.5203,1302.2675,946.8436,829.9138,1031.2039
259.7905,359.8036,430.6974,204.948,293.0707,316.3226,307.6231,263.1941
5.5844,9.8549,14.0136,7.8157,7.5958,9.7275,13.2547,19.9298
475.5362,439.3168,233.1815,314.9645,648.0641,368.2695,654.2865,283.9969
16.6003,29.721,20.5643,36.6832,11.1164,3.2621,17.8391,10.8076
460.7127,420.7923,517.6293,359.0973,656.096,615.3997,509.8919,555.9792
16.1907,10.8693,33.774,8.3977,6.1689,4.4636,23.1934,8.2017
877.5706,813.524,968.7002,827.804,780.9457,571.4539,798.9315,406.4433
78.2143,90.7102,94.8403,42.1743,108.1207,87.6356,118.2854,65.4354
107.8567,96.4848,151.9355,107.0446,122.1246,108.6734,76.684,106.2704
