Gene_ID,Gene_Symbol,Gene_Description,log2FoldChange,adjusted.P.Value,Regulation
18,ABAT,4-aminobutyrate aminotransferase,1.38113242560079,1.28773589027639e-07,UP
7404,UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked",-1.47840244840467,7.26324632371689e-07,DOWN
1196,CLK2,CDC like kinase 2,1.63850048520065,3.38592086647665e-06,UP
23,ABCF1,ATP binding cassette subfamily F member 1,1.7605032666738,7.53564333080433e-06,UP
685,BTC,betacellulin,1.45844298815314,7.37661437495704e-07,UP
2769,GNA15,G protein subunit alpha 15,-1.55334833235703,2.03351937798255e-06,DOWN
1050,CEBPA,CCAAT enhancer binding protein alpha,-1.23308945117595,2.87826042166336e-08,DOWN
3112,HLA-DOB,"major histocompatibility complex, class II, DO beta",-1.18631198222801,1.00085795393678e-08,DOWN
136,ADORA2B,adenosine A2b receptor,1.84012571513376,1.55593177945561e-05,UP
1536,CYBB,cytochrome b-245 beta chain,1.01140679541526,2.60222302663628e-11,UP
5768,QSOX1,quiescin sulfhydryl oxidase 1,1.12949677972624,7.95385953048131e-09,UP
662,BNIP1,BCL2 interacting protein 1,-1.5200603849156,3.59728065771469e-06,DOWN
2029,ENSA,endosulfine alpha,-1.8519848919521,2.50634851134817e-05,DOWN
7306,TYRP1,tyrosinase related protein 1,-1.34381553711223,6.23712451770669e-07,DOWN
1258,CNGB1,cyclic nucleotide gated channel subunit beta 1,1.91803393675909,3.62341364221041e-05,UP
1807,DPYS,dihydropyrimidinase,-2.35108496677085,0.000115851080313832,DOWN
331,XIAP,X-linked inhibitor of apoptosis,-1.54901889242679,5.50556360442016e-06,DOWN
954,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2,-1.46008242785076,2.72311826883917e-06,DOWN
521,ATP5ME,ATP synthase membrane subunit e,1.27444728956525,3.80594157821155e-07,UP
529,ATP6V1E1,ATPase H+ transporting V1 subunit E1,-1.35805161275915,1.23791811319058e-06,DOWN
1582,CYP8B1,cytochrome P450 family 8 subfamily B member 1,-1.93112040438747,4.94714258378438e-05,DOWN
293,SLC25A6,solute carrier family 25 member 6,-1.28797903840516,7.54114510336031e-07,DOWN
863,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3,2.02660425907287,7.25010281388653e-05,UP
2628,GATM,glycine amidinotransferase,-1.51569011928561,7.35846663003432e-06,DOWN
4010,LMX1B,LIM homeobox transcription factor 1 beta,1.23256634320273,3.68556685597965e-07,UP
5920,PLAAT4,phospholipase A and acyltransferase 4,-1.75030174908391,3.06703171803408e-05,DOWN
327,APEH,acylaminoacyl-peptide hydrolase,-1.49947950447472,7.65215979484843e-06,DOWN
1298,COL9A2,collagen type IX alpha 2 chain,-1.64767167308366,1.9266352126369e-05,DOWN
4917,NTN3,netrin 3,-1.57008159886909,1.25811070991017e-05,DOWN
1960,EGR3,early growth response 3,-2.20527956335743,0.000141605662566658,DOWN
328,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1,-1.84844211853074,5.49324201522583e-05,DOWN
3090,HIC1,HIC ZBTB transcriptional repressor 1,1.52209179150296,1.49896082038272e-05,UP
9075,CLDN2,claudin 2,1.34365670958109,3.81454600350122e-06,UP
970,CD70,CD70 molecule,-1.52520364932481,1.99791091307062e-05,DOWN
4775,NFATC3,nuclear factor of activated T cells 3,1.08100280815135,1.7648358725176e-07,UP
4720,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,1.07970648626388,1.85577304929933e-07,UP
1387,CREBBP,CREB binding protein,-1.02858746796887,6.1247203280309e-08,DOWN
783,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,1.23244445728198,2.2836439399193e-06,UP
984,CDK11B,cyclin dependent kinase 11B,-1.18229023615772,1.58481195056871e-06,DOWN
2444,FRK,fyn related Src family tyrosine kinase,-1.03566843226712,1.48769662024527e-07,DOWN
1131,CHRM3,cholinergic receptor muscarinic 3,-1.73068491650647,8.35716931633003e-05,DOWN
2878,GPX3,glutathione peroxidase 3,-1.11614277336354,1.04288031988367e-06,DOWN
4739,NEDD9,"neural precursor cell expressed, developmentally down-regulated 9",1.83640602097561,0.000125496509656399,UP
1111,CHEK1,checkpoint kinase 1,1.07622963192219,5.73677753100681e-07,UP
1748,DLX4,distal-less homeobox 4,1.11442168522045,1.08638983910031e-06,UP
873,CBR1,carbonyl reductase 1,-1.08522060216161,7.61081765015412e-07,DOWN
489,ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,1.10243990497103,1.42923154908483e-06,UP
8673,VAMP8,vesicle associated membrane protein 8,-1.53182012425092,5.12815660149578e-05,DOWN
1213,CLTC,clathrin heavy chain,1.59657868408127,9.87276248262618e-05,UP
3688,ITGB1,integrin subunit beta 1,-1.26379425411728,1.75592449287451e-05,DOWN
627,BDNF,brain derived neurotrophic factor,1.58781926085186,0.000100276582406524,UP
473,RERE,arginine-glutamic acid dipeptide repeats,1.53664864080067,9.03140017516977e-05,UP
4986,OPRK1,opioid receptor kappa 1,-1.23950615299893,1.74605249416024e-05,DOWN
318,NUDT2,nudix hydrolase 2,1.20105568344229,1.28371754116851e-05,UP
1544,CYP1A2,cytochrome P450 family 1 subfamily A member 2,-1.26859427303287,2.23188740595419e-05,DOWN
5833,PCYT2,"phosphate cytidylyltransferase 2, ethanolamine",1.55868397479487,0.000128194175466157,UP
395,ARHGAP6,Rho GTPase activating protein 6,-1.21431954583022,2.23701807468484e-05,DOWN
344,APOC2,apolipoprotein C2,1.16241836570925,1.51292374894601e-05,UP
