Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,randomP.adjust,rank,Gene_Symbol,Gene_Description
2156,1,1.23728741689142,0.244336866224867,2.23023796755797,0.0145958194877594,0,1,5.9646111010453,0.0145958194877594,FALSE,0.0570633095756515,1036,,
4184,-1,-0.483573378861019,-0.871683134464342,-0.095463623257696,0.0146038134328605,0,1,5.963645675901,0.0146038134328605,FALSE,0.0570633095756515,1037,SMCP,sperm mitochondria associated cysteine rich protein
438,1,0.60901489320811,0.119726522508245,1.09830326390798,0.0147052503809495,0,1,5.95144221512871,0.0147052503809495,FALSE,0.0574043107356525,1038,ASMT,acetylserotonin O-methyltransferase
5009,-1,-0.432573983405746,-0.780389606353701,-0.0847583604577913,0.0147858219503096,0,1,5.94181058042083,0.0147858219503096,FALSE,0.0576632825242102,1039,OTC,ornithine transcarbamylase
1359,-1,-0.532471341147844,-0.961533511305865,-0.103409170989823,0.015001659101608,0,1,5.9162730284894,0.0150016591016079,FALSE,0.0584487718074187,1040,CPA3,carboxypeptidase A3
4168,-1,-0.411289096917454,-0.742892148784436,-0.0796860450504724,0.0150591198243519,0,1,5.90953811024352,0.0150591198243519,FALSE,0.0586162858100615,1041,MCF2,MCF.2 cell line derived transforming sequence
1674,-1,-0.60375830149421,-1.09083237081766,-0.116684232170756,0.0151198297723411,0,1,5.90245104516383,0.0151198297723412,FALSE,0.0587773039563,1042,DES,desmin
1214,-1,-0.403223110316624,-0.728549083658129,-0.0778971369751192,0.0151294985257702,0,1,5.90132505498834,0.0151294985257702,FALSE,0.0587773039563,1043,,
3038,-1,-0.477297673878902,-0.862708725964373,-0.0918866217934311,0.0152140647405336,0,1,5.89150823353996,0.0152140647405336,FALSE,0.0590492244527224,1044,HAS3,hyaluronan synthase 3
938,-1,-0.654640984318694,-1.18349158944137,-0.125790379196013,0.0152598140049578,0,1,5.88622085577791,0.0152598140049577,FALSE,0.0591701113378841,1045,,
5309,-1,-0.51533568549066,-0.931778652983063,-0.0988927179982573,0.0152916685004361,0,1,5.8825489708422,0.0152916685004361,FALSE,0.0592259180128852,1046,PITX3,paired like homeodomain 3
2845,-1,-0.399075736062724,-0.721606137149382,-0.0765453349760659,0.0153034393286009,0,1,5.88119413433841,0.0153034393286009,FALSE,0.0592259180128852,1047,GPR22,G protein-coupled receptor 22
1880,-1,-0.454925378660935,-0.822910613013102,-0.0869401443087682,0.0153918748428346,0,1,5.87104929940484,0.0153918748428346,FALSE,0.0594234562138132,1048,GPR183,G protein-coupled receptor 183
3629,1,0.577899680127425,0.110384292099013,1.04541506815584,0.0154044613554145,0,1,5.86961032685812,0.0154044613554145,FALSE,0.0594234562138132,1049,,
333,2,0.455493179312737,0.0869994808734856,0.823986877751988,0.0154055805144361,1.57687782255691,0.209210991742778,5.86948243591037,0.0154055805144361,FALSE,0.0594234562138132,1050,APLP1,amyloid beta precursor like protein 1
