Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
HLA-DOB,-1.18631198222801,1.00085795393678e-08,"major histocompatibility complex, class II, DO beta",Down
ADORA2B,1.84012571513376,1.55593177945561e-05,adenosine A2b receptor,Up
CYBB,1.01140679541526,2.60222302663628e-11,cytochrome b-245 beta chain,Up
QSOX1,1.12949677972624,7.95385953048131e-09,quiescin sulfhydryl oxidase 1,Up
BNIP1,-1.5200603849156,3.59728065771469e-06,BCL2 interacting protein 1,Down
ENSA,-1.8519848919521,2.50634851134817e-05,endosulfine alpha,Down
TYRP1,-1.34381553711223,6.23712451770669e-07,tyrosinase related protein 1,Down
CNGB1,1.91803393675909,3.62341364221041e-05,cyclic nucleotide gated channel subunit beta 1,Up
DPYS,-2.35108496677085,0.000115851080313832,dihydropyrimidinase,Down
XIAP,-1.54901889242679,5.50556360442016e-06,X-linked inhibitor of apoptosis,Down
ENTPD2,-1.46008242785076,2.72311826883917e-06,ectonucleoside triphosphate diphosphohydrolase 2,Down
ATP5ME,1.27444728956525,3.80594157821155e-07,ATP synthase membrane subunit e,Up
ATP6V1E1,-1.35805161275915,1.23791811319058e-06,ATPase H+ transporting V1 subunit E1,Down
CYP8B1,-1.93112040438747,4.94714258378438e-05,cytochrome P450 family 8 subfamily B member 1,Down
SLC25A6,-1.28797903840516,7.54114510336031e-07,solute carrier family 25 member 6,Down
CBFA2T3,2.02660425907287,7.25010281388653e-05,CBFA2/RUNX1 partner transcriptional co-repressor 3,Up
GATM,-1.51569011928561,7.35846663003432e-06,glycine amidinotransferase,Down
LMX1B,1.23256634320273,3.68556685597965e-07,LIM homeobox transcription factor 1 beta,Up
PLAAT4,-1.75030174908391,3.06703171803408e-05,phospholipase A and acyltransferase 4,Down
APEH,-1.49947950447472,7.65215979484843e-06,acylaminoacyl-peptide hydrolase,Down
COL9A2,-1.64767167308366,1.9266352126369e-05,collagen type IX alpha 2 chain,Down
NTN3,-1.57008159886909,1.25811070991017e-05,netrin 3,Down
EGR3,-2.20527956335743,0.000141605662566658,early growth response 3,Down
APEX1,-1.84844211853074,5.49324201522583e-05,apurinic/apyrimidinic endodeoxyribonuclease 1,Down
HIC1,1.52209179150296,1.49896082038272e-05,HIC ZBTB transcriptional repressor 1,Up
CLDN2,1.34365670958109,3.81454600350122e-06,claudin 2,Up
CD70,-1.52520364932481,1.99791091307062e-05,CD70 molecule,Down
NFATC3,1.08100280815135,1.7648358725176e-07,nuclear factor of activated T cells 3,Up
NDUFS2,1.07970648626388,1.85577304929933e-07,NADH:ubiquinone oxidoreductase core subunit S2,Up
CREBBP,-1.02858746796887,6.1247203280309e-08,CREB binding protein,Down
CACNB2,1.23244445728198,2.2836439399193e-06,calcium voltage-gated channel auxiliary subunit beta 2,Up
CDK11B,-1.18229023615772,1.58481195056871e-06,cyclin dependent kinase 11B,Down
FRK,-1.03566843226712,1.48769662024527e-07,fyn related Src family tyrosine kinase,Down
CHRM3,-1.73068491650647,8.35716931633003e-05,cholinergic receptor muscarinic 3,Down
GPX3,-1.11614277336354,1.04288031988367e-06,glutathione peroxidase 3,Down
NEDD9,1.83640602097561,0.000125496509656399,"neural precursor cell expressed, developmentally down-regulated 9",Up
CHEK1,1.07622963192219,5.73677753100681e-07,checkpoint kinase 1,Up
DLX4,1.11442168522045,1.08638983910031e-06,distal-less homeobox 4,Up
CBR1,-1.08522060216161,7.61081765015412e-07,carbonyl reductase 1,Down
ATP2A3,1.10243990497103,1.42923154908483e-06,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,Up
VAMP8,-1.53182012425092,5.12815660149578e-05,vesicle associated membrane protein 8,Down
CLTC,1.59657868408127,9.87276248262618e-05,clathrin heavy chain,Up
ITGB1,-1.26379425411728,1.75592449287451e-05,integrin subunit beta 1,Down
BDNF,1.58781926085186,0.000100276582406524,brain derived neurotrophic factor,Up
RERE,1.53664864080067,9.03140017516977e-05,arginine-glutamic acid dipeptide repeats,Up
OPRK1,-1.23950615299893,1.74605249416024e-05,opioid receptor kappa 1,Down
NUDT2,1.20105568344229,1.28371754116851e-05,nudix hydrolase 2,Up
CYP1A2,-1.26859427303287,2.23188740595419e-05,cytochrome P450 family 1 subfamily A member 2,Down
PCYT2,1.55868397479487,0.000128194175466157,"phosphate cytidylyltransferase 2, ethanolamine",Up
ARHGAP6,-1.21431954583022,2.23701807468484e-05,Rho GTPase activating protein 6,Down
APOC2,1.16241836570925,1.51292374894601e-05,apolipoprotein C2,Up
CAMK4,1.11785336255854,1.05072038187295e-05,calcium/calmodulin dependent protein kinase IV,Up
BMP3,-1.09033626481049,8.4626178763831e-06,bone morphogenetic protein 3,Down
SPR,-1.43677484157493,9.56639707121743e-05,sepiapterin reductase,Down
EDN3,-1.59284064694761,0.000170401423698208,endothelin 3,Down
ARF3,1.14893890644536,1.96763861855113e-05,ADP ribosylation factor 3,Up
GSR,1.15062645768472,2.40961840273642e-05,glutathione-disulfide reductase,Up
BCHE,2.53325848292607,0.000908020665900137,butyrylcholinesterase,Up
EYA1,-1.03105342615884,8.07642164743774e-06,EYA transcriptional coactivator and phosphatase 1,Down
ATOH1,-1.31292674192087,7.82499386441653e-05,atonal bHLH transcription factor 1,Down
GP9,1.32882898452482,8.6461699148132e-05,glycoprotein IX platelet,Up
ENTPD3,-1.05512352260655,1.17813825219906e-05,ectonucleoside triphosphate diphosphohydrolase 3,Down
ESR2,-1.25890266198395,6.26503991788212e-05,estrogen receptor 2,Down
HSD17B4,-1.53415249556671,0.0002171469317883,hydroxysteroid 17-beta dehydrogenase 4,Down
RPL5,-1.03646791708638,1.20360081465206e-05,ribosomal protein L5,Down
CACNG1,1.06656805609995,2.03225056039354e-05,calcium voltage-gated channel auxiliary subunit gamma 1,Up
CSRP2,1.49901011280193,0.000227079980790857,cysteine and glycine rich protein 2,Up
BAD,-1.6526733443934,0.000348937209671282,BCL2 associated agonist of cell death,Down
BCL6,-1.87360455115046,0.000575109445772036,BCL6 transcription repressor,Down
ENTPD6,1.12436569987865,4.26726370421567e-05,ectonucleoside triphosphate diphosphohydrolase 6,Up
OPN1SW,-1.45632833996381,0.000240693335537105,"opsin 1, short wave sensitive",Down
CD3D,1.06983849648902,3.15562099238732e-05,CD3 delta subunit of T-cell receptor complex,Up
FABP3,-1.4443009958069,0.000299442212858182,fatty acid binding protein 3,Down
EN1,-1.22033948110975,0.000133325315901035,engrailed homeobox 1,Down
GLG1,-1.01881907461594,4.1082338865792e-05,golgi glycoprotein 1,Down
GLO1,-1.18641923854282,0.000137849698785477,glyoxalase I,Down
CCR3,-1.02669177309222,4.95502626727066e-05,C-C motif chemokine receptor 3,Down
CDH7,-1.24130717642221,0.000187090047743552,cadherin 7,Down
MST1,1.71278193210069,0.000705236265047161,macrophage stimulating 1,Up
AUH,-1.45349989643504,0.000423097724894175,AU RNA binding methylglutaconyl-CoA hydratase,Down
BIRC2,-1.36260798121745,0.000339895182667957,baculoviral IAP repeat containing 2,Down
PPP1CB,1.08424888001786,9.83534768670959e-05,protein phosphatase 1 catalytic subunit beta,Up
ZNF3,-1.29573105795321,0.000282452407199664,zinc finger protein 3,Down
EMP3,-1.45771602597071,0.000490568056182734,epithelial membrane protein 3 (MAM blood group),Down
P2RY1,1.15687894070555,0.000177772993860962,purinergic receptor P2Y1,Up
CD4,1.22996216895329,0.000249757514107357,CD4 molecule,Up
POLR2K,1.36323730906832,0.00045567149888357,"RNA polymerase II, I and III subunit K",Up
TSPAN3,-1.02807818177148,0.000117570815085655,tetraspanin 3,Down
DEFA4,-1.01429277243258,0.000127910385147085,defensin alpha 4,Down
BUB1,-1.16165305555693,0.000278585033318251,BUB1 mitotic checkpoint serine/threonine kinase,Down
ALPP,1.78744112604602,0.00128684639237702,"alkaline phosphatase, placental",Up
BACH1,1.1667761321569,0.000386763501953595,BTB domain and CNC homolog 1,Up
CDH5,1.01948097193263,0.000206506139743864,cadherin 5,Up
ZMYM3,-1.47286242078575,0.00107458263299655,zinc finger MYM-type containing 3,Down
KLF5,1.10022138340262,0.000417483426108825,KLF transcription factor 5,Up
RND3,-1.58396137826624,0.00149312246947249,Rho family GTPase 3,Down
ANTKMT,-1.20250713884131,0.000739934153853556,adenine nucleotide translocase lysine methyltransferase,Down
HOXB3,1.40744112870781,0.00120784147718165,homeobox B3,Up
PCM1,-1.21562900267385,0.000907186661205585,pericentriolar material 1,Down
BUB1B,-1.68764828825677,0.00195623884506296,BUB1 mitotic checkpoint serine/threonine kinase B,Down
BIK,3.35975913221386,0.00358941525059855,BCL2 interacting killer,Up
APRT,-1.18591180036981,0.0009501075665283,adenine phosphoribosyltransferase,Down
CSTF1,-1.05360560474593,0.000671806541203241,cleavage stimulation factor subunit 1,Down
H4C6,-1.08414501145233,0.000958227517770202,H4 clustered histone 6,Down
HTT,-1.53531082369562,0.00229267633908863,huntingtin,Down
AANAT,-2.75603604053414,0.00398754126273856,aralkylamine N-acetyltransferase,Down
KCNE1,-1.14962187631937,0.00136256442243475,potassium voltage-gated channel subfamily E regulatory subunit 1,Down
ASS1,-1.03303319789346,0.00106791755485598,argininosuccinate synthase 1,Down
C4A,-1.83204075780057,0.00312042436238095,complement C4A (Chido/Rodgers blood group),Down
ACADVL,-1.5010243818968,0.00256832938312293,acyl-CoA dehydrogenase very long chain,Down
NFATC4,-1.12850442379795,0.00151219763619384,nuclear factor of activated T cells 4,Down
ANK3,1.10497835663414,0.00146047018518617,ankyrin 3,Up
ITPKA,-1.22277200987119,0.0019461215896307,inositol-trisphosphate 3-kinase A,Down
GUCA2A,-1.07473952694592,0.00146626785266028,guanylate cyclase activator 2A,Down
PRKAA2,-1.38586559352975,0.00252755861026008,protein kinase AMP-activated catalytic subunit alpha 2,Down
POLB,3.89026450568812,0.00511728016371852,DNA polymerase beta,Up
ITGB5,-1.08588049856954,0.00167917630372567,integrin subunit beta 5,Down
GPM6B,-1.13741825057263,0.0019612758498387,glycoprotein M6B,Down
FGF3,1.66798560467552,0.00374865891622523,fibroblast growth factor 3,Up
E2F1,-1.11611890045087,0.00220773239264785,E2F transcription factor 1,Down
KLK3,1.0898716534951,0.0023316309884631,kallikrein related peptidase 3,Up
ARL1,-1.11210272780517,0.00263483315979685,ADP ribosylation factor like GTPase 1,Down
ART1,-1.00447175097622,0.00218848902839854,ADP-ribosyltransferase 1,Down
HOXB5,1.21377979368692,0.0031199766233757,homeobox B5,Up
ABCA4,1.04639680559811,0.00244443207698693,ATP binding cassette subfamily A member 4,Up
DUSP3,1.02288335074778,0.00235184087035872,dual specificity phosphatase 3,Up
CKS2,-1.07439557242833,0.00315085520004639,CDC28 protein kinase regulatory subunit 2,Down
CR1L,1.62667733121091,0.00526017275731631,complement C3b/C4b receptor 1 like,Up
EVC,-1.16649068818927,0.00397416803154139,EvC ciliary complex subunit 1,Down
CD59,1.23805580323999,0.00431469188751971,CD59 molecule (CD59 blood group),Up
GNAT2,-1.25123866107537,0.00491158013881355,G protein subunit alpha transducin 2,Down
IFNGR2,-1.15509087252371,0.00462570593433503,interferon gamma receptor 2,Down
NQO1,-1.47013471561613,0.00565973967944922,NAD(P)H quinone dehydrogenase 1,Down
SPTA1,-1.28545001271254,0.00580697429352239,"spectrin alpha, erythrocytic 1",Down
BNC1,-1.43254199689299,0.00712098771410664,basonuclin zinc finger protein 1,Down
BCL2A1,-1.04773009139923,0.00656163668024187,BCL2 related protein A1,Down
ATP5MC3,1.2353506897225,0.00753845405088271,ATP synthase membrane subunit c locus 3,Up
APP,1.1126006752665,0.00767034333334761,amyloid beta precursor protein,Up
CETP,-1.53436970267068,0.00877147808104531,cholesteryl ester transfer protein,Down
ATP4B,-10.6392228873126,0.00972109737368881,ATPase H+/K+ transporting subunit beta,Down
